coddepto,codmpio,coca_presence,inf_q
54,54245,1,3
54,54261,1,1
54,54313,0,2
54,54344,1,2
54,54347,0,3
54,54377,0,2
54,54385,1,4
54,54398,1,2
54,54405,0,1
54,54418,1,2
54,54480,0,2
54,54498,1,1
54,54518,0,3
54,54520,0,2
54,54553,0,1
54,54599,0,3
54,54660,0,3
54,54670,1,4
54,54673,0,3
54,54680,1,1
54,54720,1,3
54,54743,0,3
54,54800,1,4
54,54810,1,4
54,54820,1,3
54,54871,0,1
54,54874,0,2
63,63001,0,1
63,63111,0,1
63,63130,0,1
63,63190,0,1
63,63212,0,3
63,63272,0,1
63,63302,0,3
63,63401,0,2
63,63470,0,1
63,63548,0,3
63,63594,0,1
63,63690,0,1
66,66001,0,1
66,66045,0,2
66,66075,0,2
66,66088,0,1
66,66170,0,1
66,66318,0,2
66,66383,0,2
66,66400,0,1
66,66440,0,2
66,66456,0,3
66,66572,0,4
66,66594,0,3
66,66682,0,1
66,66687,0,1
68,68001,0,2
68,68013,0,3
68,68020,1,3
68,68051,0,1
68,68077,0,2
68,68079,0,1
68,68081,1,2
68,68092,1,2
68,68101,1,4
68,68121,0,1
68,68132,0,1
68,68147,0,3
68,68152,0,2
68,68160,0,3
68,68162,0,1
68,68167,0,2
68,68169,0,1
68,68176,1,1
68,68179,0,1
68,68190,1,4
68,68207,0,2
68,68209,1,1
68,68211,0,3
68,68217,0,2
68,68229,0,2
68,68235,1,1
68,68245,0,3
68,68250,1,4
68,68255,1,3
68,68264,0,1
68,68266,0,1
68,68271,1,3
68,68276,0,1
68,68296,0,1
68,68298,0,2
68,68307,1,1
68,68318,0,1
68,68320,0,1
68,68322,1,1
68,68324,1,2
68,68327,0,1
68,68344,1,2
68,68368,0,3
68,68370,0,2
68,68377,1,4
68,68385,1,4
68,68397,1,3
68,68406,1,1
68,68418,0,1
68,68425,0,3
68,68432,0,1
68,68444,1,1
68,68464,0,2
68,68468,0,2
68,68498,0,1
68,68500,0,1
68,68502,0,3
68,68522,1,1
68,68524,1,1
68,68533,0,1
68,68547,0,2
68,68549,0,1
68,68572,0,1
68,68573,1,4
68,68575,1,3
68,68615,1,1
68,68655,1,3
68,68669,0,1
68,68673,0,2
68,68679,0,1
68,68682,0,2
68,68684,0,2
68,68686,0,3
68,68689,1,2
68,68705,0,3
68,68720,1,4
68,68745,1,3
68,68755,1,1
68,68770,0,1
68,68773,1,4
68,68780,0,3
68,68820,0,1
68,68855,0,1
68,68861,1,4
68,68867,0,2
68,68872,0,1
68,68895,0,1
70,70001,0,3
70,70110,0,2
70,70124,0,2
70,70204,0,3
70,70215,0,2
70,70221,0,3
